Location,treatmentID_rep,treatment_level,time,sampling_period,experiment_number,date,orion_pH,mV,temp,TrisCalDate,salinity ,light,note,TA,phosphate,silicate,NN,ammonia
Cabral,Fresh_GW,Fresh,6:30,1,1,1/13/24,7.33,-5,25.936,20240112,0.744,NA,,,,,,
Cabral,Low1,Low,7:30,1,1,1/13/24,8.24,-53.4,28.457,20240112,35.93,100,,2367.53447,0.29,4.11,0.67,1.02
Cabral,Low2,Low,7:30,1,1,1/13/24,8.24,-53,28.418,20240112,35.6,106,,2371.365378,0.31,5.73,0.86,0.28
Cabral,Low3,Low,7:30,1,1,1/13/24,8.24,-53.5,28.275,20240112,35.7,122,,2355.610949,0.23,3.47,0.71,1.82
Cabral,Med1,Medium,7:30,1,1,1/13/24,8.22,-52.3,28.006,20240112,35.3,109,,2390.644925,0.3,7.32,1.24,1.43
Cabral,Med2,Medium,7:30,1,1,1/13/24,8.24,-53.2,28.361,20240112,35.44,107,,2381.858793,0.28,6.65,1.14,1.36
Cabral,Med3,Medium,7:30,1,1,1/13/24,8.23,-52.6,28.468,20240112,35.31,129,,2354.232926,0.32,7.12,1.28,0.95
Cabral,High1,High,7:30,1,1,1/13/24,8.25,-53.7,28.259,20240112,34.36,126,,2441.19677,0.41,13.76,2.71,2.73
Cabral,High2,High,7:30,1,1,1/13/24,8.19,-50.4,27.719,20240112,34.48,104,,2448.419,0.53,14.71,2.71,0.61
Cabral,High3,High,7:30,1,1,1/13/24,8.22,-52.4,28.695,20240112,35.01,116,,2443.870626,0.4,13.21,2.41,1.43
Cabral,Ambient1,Ambient,7:30,1,1,1/13/24,8.3,-56.2,28.761,20240112,35.68,125,,2347.161172,0.29,2.99,0.74,2.86
Cabral,Ambient2,Ambient,7:30,1,1,1/13/24,8.25,-53.9,28.619,20240112,35.94,123,,2361.055335,0.27,2.73,0.41,0.65
Cabral,Ambient3 ,Ambient,7:30,1,1,1/13/24,8.25,-53.7,28.689,20240112,35.99,124,,2348.890804,0.26,2.77,0.44,2.88
Cabral,Low1,Low,12:30,2,1,1/13/24,8.25,-53.9,30.524,20240112,36.01,380,,,,,,
Cabral,Low2,Low,12:30,2,1,1/13/24,8.25,-53.6,30.496,20240112,35.81,252,,,,,,
Cabral,Low3,Low,12:30,2,1,1/13/24,8.25,-54,30.407,20240112,35.57,385,,,,,,
Cabral,Med1,Medium,12:30,2,1,1/13/24,8.23,-52.7,30.484,20240112,35.53,325,,,,,,
Cabral,Med2,Medium,12:30,2,1,1/13/24,8.23,-52.8,30.27,20240112,35.56,502,,,,,,
Cabral,Med3,Medium,12:30,2,1,1/13/24,8.25,-54.1,30.417,20240112,35.48,382,,,,,,
Cabral,High1,High,12:30,2,1,1/13/24,8.19,-50.4,30.415,20240112,34.64,522,,,,,,
Cabral,High2,High,12:30,2,1,1/13/24,8.2,-51.1,30.535,20240112,34.74,342,,,,,,
Cabral,High3,High,12:30,2,1,1/13/24,8.26,-54.5,30.587,20240112,34.8,354,,,,,,
Cabral,Ambient1,Ambient,12:30,2,1,1/13/24,8.28,-55.2,30.624,20240112,36.14,365,,,,,,
Cabral,Ambient2,Ambient,12:30,2,1,1/13/24,8.25,-53.5,30.245,20240112,36.14,477,,,,,,
Cabral,Ambient3 ,Ambient,12:30,2,1,1/13/24,8.24,-53,30.41,20240112,36.2,365,,,,,,
Cabral,Low1,Low,18:00,3,1,1/13/24,8.27,-54.5,29.612,20240112,36.4,NA,apogee batttery issue,,,,,
Cabral,Low2,Low,18:00,3,1,1/13/24,8.26,-54.5,29.886,20240112,36.19,NA,,,,,,
