Location,CowTagID,Sand,HardSubstrate,sum_total,sum_total_dead,sum_total_alive,sal_avg,temp_avg,TA_avg,pH_avg,phos_avg,NN_avg,silicate_avg,ammonia_avg,sal_max,temp_max,TA_max,pH_max,phos_max,NN_max,silicate_max,ammonia_max,sal_min,temp_min,TA_min,pH_min,phos_min,NN_min,silicate_min,ammonia_min,sal_CV,temp_CV,TA_CV,pH_CV,phos_CV,NN_CV,silicate_CV,ammonia_CV,sal_sd,temp_sd,TA_sd,pH_sd,phos_sd,NN_sd,silicate_sd,ammonia_sd
Cabral,C1,2.336448598,97.6635514,29,14,15,36.24142857142857,27.937142857142856,2310.261145285714,7.976237192312704,0.17115724185714284,0.6760733831428571,4.674597909714286,0.3052414822857143,36.58,29.35,2362.354403,8.051251381,0.23,2.51686028,6.538680142,0.637430379,35.9,26.49,2248.881745,7.837550779733506,0.13,0.08,2.847369785,0.02,6.166689573148477e-5,3.5601853503022444e-4,1.549340140695635e-4,9.361052344775761e-5,0.0021052691517639676,0.012417820404784856,0.0031133297401219778,0.008537027517735912,0.22348963968743388,0.9946140672930099,35.79380327880627,0.07466597387158648,0.036033206138284736,0.8395357852323302,1.4553564695425518,0.2605854933827642
Cabral,C10,92.27272727,7.727272728,11,8,3,36.3,28.49125,2293.940940375,7.970281823615192,0.1867025695,0.409068535625,4.668473158,0.402691886125,36.5,29.99,2351.076783,8.064817779138096,0.24,0.49,6.79,0.894382275,36.04,27.17,2256.387788,7.853484084,0.139594965,0.31,3.184521033,0.18,4.262666560897607e-5,3.617380560645178e-4,1.3657704333790396e-4,8.92119323248942e-5,0.0018341435379514784,0.0016805221296999377,0.002789882918942176,0.006091940624418392,0.15473479616058314,1.0306369389848193,31.329967122818854,0.0711044242658693,0.034243931136736176,0.06874487266817599,1.3024493521044238,0.24531750602085525
Cabral,C11,5.11627907,94.883720932,2,1,1,36.38125,28.68625,2311.39497425,7.978600091176749,0.210121639,0.72594002675,2.9282758918750003,0.3141750085,36.59,29.97,2333.809095,8.052661638594968,0.249897615,1.156297447,4.713742766,0.965451554,36.17,27.62,2260.350965,7.822619572,0.17,0.38,1.93,0.02,4.471944697321284e-5,3.2815396343919493e-4,1.2496401387059177e-4,8.963929025187488e-5,0.0012278257823060074,0.003306333661726833,0.003165489248144784,0.009856253238682361,0.16269493801941998,0.9413506633707606,28.88411936225931,0.0715196049376628,0.02579927657845955,0.24001999468384025,0.9269425851331892,0.30965884450411835
Cabral,C12,0.45045045,99.54954953999999,86,48,38,NA,NA,NA,NA,0.21434354225,0.89141471875,2.56840254375,0.29709120237500003,NA,NA,NA,NA,0.277882817,1.973447265,4.61,0.92289297,NA,NA,NA,NA,0.15,0.24,1.332314071,0.02,NA,NA,NA,NA,0.0017443309001505113,0.0056000157619661315,0.004608525804142309,0.009175973286560595,NA,NA,NA,NA,0.03738860639943917,0.4991936475448607,1.183654939829662,0.2726100936665168
Cabral,C13,3.196347032,96.803652968,16,13,3,36.21125,28.575,2287.8301595,7.923143253711363,0.21152857225,0.740531363625,4.93352995175,0.354191347,36.53,30.46,2332.698308,8.0690313229905275,0.29,1.164595177,6.18,1.098402673,35.3,26.62,2213.566904,7.712902032,0.146329616,0.44,2.834266218,0.02,1.0830594567308089e-4,5.124610637025673e-4,1.875741858838153e-4,1.3237329176060317e-4,0.0019807569776759686,0.0028716342732949375,0.0021976856243348854,0.009646295890386125,0.39218936752543504,1.464357489530086,42.91378796086517,0.1048812553584589,0.04189866954620228,0.2126535244235386,1.0842347852186556,0.3416634534976426
Cabral,C15,0.456621005,99.543379001,14,7,7,36.495,28.996666666666666,2316.979361,7.978755031249733,0.21303471833333334,0.7989350070000001,1.7562005125,0.33902811416666667,36.68,30.35,2340.212488,8.07988155948271,0.242252877,1.236714805,2.39,0.774708485,36.21,26.78,2292.997625,7.861279285,0.19,0.55,1.070596873,0.172605288,5.633557818342276e-5,5.178048661518046e-4,7.775088560421826e-5,1.0079068655582357e-4,9.484770993047743e-4,0.0029301513756852114,0.002605220938640347,0.006617848291142756,0.20559669258040134,1.501461510218183,18.014719724444575,0.08041841974603922,0.020205855169600963,0.23410005098441244,0.4575290347615908,0.22436366259872262
Cabral,C16,29.51289398,70.48710602,10,3,7,36.34625,28.0675,2311.553447125,7.972638598124192,0.195550022875,0.5140826595,3.276665479,0.368500820125,36.7,29.2,2352.743261,8.082047534490528,0.217316469,0.732318774,8.53,1.01,35.89,26.73,2276.492556,7.829249103,0.171630058,0.3,1.312127494,0.02,8.998511239465326e-5,3.081554663100682e-4,1.0567194265909943e-4,1.0854008929125199e-4,8.849051190168679e-4,0.0030580532432916913,0.0067785222066075535,0.00969976726016336,0.3270621391374166,0.8649153550657839,24.426634331803662,0.08653509053272819,0.01730432162659531,0.1572092144203993,2.2210949713025876,0.35743721903918224
Cabral,C17,39.02439024,60.975609752000004,42,29,13,36.31,28.00625,2297.57212775,7.979222678178332,0.18798354675,0.365901716125,4.77321899025,0.38870135475,36.61,29.26,2347.220464,8.077316411328644,0.26,0.530171957,8.92,1.263361642,36,26.57,2255.996627,7.87160586,0.12,0.09,2.110028505,0.02,6.0714424910626854e-5,3.236718913046443e-4,1.3794170537748853e-4,8.957269408647939e-5,0.0023275627559204027,0.0034120033701572623,0.004128220001062439,0.010064939382208012,0.2204540768504861,0.9064835905850694,31.693101752961994,0.07147204720003665,0.04375435021411219,0.12484578885648259,1.9704898105001112,0.3912255573340882
Cabral,C18,0,99.999999995,2,1,1,36.41,27.9725,2325.875399,8.00336843784549,0.2122005185,0.69269217175,2.116053597625,0.31227981825,36.63,28.89,2358.186363,8.060575455,0.263230402,1.167508209,4.33,1.09709865,35.99,26.89,2304.619843,7.910831882,0.17,0.43,1.085825343,0.02,5.792814281491403e-5,2.386523267585928e-4,7.987862281911037e-5,5.763078105623984e-5,0.0012506549045054713,0.0031278239227746896,0.005136480014063267,0.010926644727303687,0.21091636798910193,0.6675702210254737,18.578772372096882,0.04612403741538937,0.0265389619200629,0.2166619145918404,1.0869067012887488,0.3412170629524716
Cabral,C19,2.283105023,97.71689497999999,0,0,0,36.41875,26.97625,2334.070409,8.020949610368232,0.2226198585,0.70260186775,2.25540230625,0.31660189975,36.63,27.66,2377.895232,8.102933379,0.278201348,1.118251474,3.88,0.821060592,36.13,26.15,2306.758841,7.922316313,0.187465587,0.57,1.020307506,0.1,4.936921557264455e-5,2.0711605053744662e-4,1.053994477819299e-4,6.821111135950068e-5,0.0012779128114402633,0.002459078963199956,0.004731882827049946,0.007091943796636876,0.17979651196362487,0.5587214358310795,24.600973219274326,0.05471178870817711,0.02844887692581686,0.17277534724890226,1.0672299441033217,0.22453228789354626
