CowTagID,Location,Silicate_umolL,SGD_level
C6,Cabral,1.420618684,Low
C15,Cabral,1.756200513,Low 
C18,Cabral,2.116053598,Low
C7,Cabral,2.146299704,Low
C19,Cabral,2.255402306,Low
C3,Cabral,2.393335167,Low
C14,Cabral,2.523000346,Medium
C12,Cabral,2.568402544,Medium
C11,Cabral,2.928275892,Medium
C9,Cabral,3.186183273,Medium
C16,Cabral,3.276665479,Medium
C8,Cabral,3.976535804,Medium
C20,Cabral,4.43563326,High 
C4,Cabral,4.525769306,High 
C1,Cabral,4.531385923,High 
C5,Cabral,4.557215384,High 
C10,Cabral,4.668473158,High 
C17,Cabral,4.77321899,High 
C13,Cabral,4.933529952,High 
C2,Cabral,5.434992273,High 
