CowTagID,Location,Silicate_umolL,SGD_level
V19,Varari,0.981248987,Low
V16,Varari,1.05789758,Low
V4,Varari,1.223416391,Low
V20,Varari,1.319028224,Low
V9,Varari,1.327589421,Low
V12,Varari,1.358182271,Low
V10,Varari,1.444726293,Low
V13,Varari,1.514046079,Medium
V5,Varari,1.603188488,Medium
V3,Varari,1.619723776,Medium
V11,Varari,1.951921331,Medium
V2,Varari,2.056364497,Medium
V15,Varari,2.163866061,Medium
V1,Varari,2.213072709,Medium
V8,Varari,2.491497471,High 
V18,Varari,2.581093064,High 
V6,Varari,2.599986655,High 
V14,Varari,2.6233599,High 
V17,Varari,2.71587537,High 
V7,Varari,2.733417634,High 
