TTris,mVTris,TrisCalDate
22.698,-59.2,20240119
23.792,-57.8,20240119
25.667,-56.4,20240119
27.722,-53.2,20240119
28.86,-52,20240119
32.228,-47.7,20240119
22.342,-59.2,20240116
24.543,-57.7,20240116
27.131,-55.2,20240116
28.811,-53,20240116
32.012,-49.4,20240116
30.847,-49.6,20240116
18.171,-66.5,20240114
21.634,-64.9,20240114
26.942,-57,20240114
30.258,-52.8,20240114
32.415,-49.1,20240114
21.84,-61.9,20240112
23.716,-59.3,20240112
25.883,-56.5,20240112
27.817,-53.5,20240112
29.857,-52.8,20240112
22.875,-60.9,20240210
23.4,-61.5,20240210
26.402,-58.7,20240210
28.118,-55.2,20240210
30.812,-52.6,20240210
33.449,-48.9,20240210
22.716,-60.8,20240215
25.6,-59.1,20240215
27.325,-56.9,20240215
30.431,-53,20240215
32.31,-50.2,20240215
