treatmentID_rep,treatment_level,rep_number,swimming,mesh,plastic,top,bottom,side,spawning_day,date,notes
Low1,Low,1,0,0,0,10,2,1,1,1/14/24,
Low1,Low,2,5,0,1,5,3,2,1,1/14/24,
Low2,Low,1,0,0,0,2,15,0,1,1/14/24,
Low2,Low,2,0,0,0,5,2,1,1,1/14/24,
Low3,Low,1,1,0,3,6,1,4,1,1/14/24,
Med1,Medium,1,0,0,0,3,8,6,1,1/14/24,
Med1,Medium,2,0,0,0,1,10,2,1,1/14/24,
Med2,Medium,1,2,3,0,8,3,5,1,1/14/24,
Med3,Medium,1,3,1,0,6,4,4,1,1/14/24,
Med3,Medium,2,0,0,0,1,4,9,1,1/14/24,
High1,High,1,2,0,0,9,6,1,1,1/14/24,
High2,High,1,0,0,0,6,2,5,1,1/14/24,
High2,High,2,0,0,0,11,0,5,1,1/14/24,3 settled on CCA
High3 ,High,1,1,0,0,3,5,3,1,1/14/24,
High3,High,2,2,0,0,5,3,11,1,1/14/24,
Ambient1,Ambient,1,1,1,1,7,3,5,1,1/14/24,
Ambient1,Ambient,2,0,0,0,3,1,3,1,1/14/24,stage1 on plastic 
Ambient2,Ambient,1,3,1,0,4,4,6,1,1/14/24,"side, settled on CCA "
Ambient2,Ambient,2,0,1,0,6,5,2,1,1/14/24,
Ambient3 ,Ambient,1,2,6,0,8,7,2,1,1/14/24,"picture, lots of stage 2 "
Low1,Low,1,1,1,0,3,8,8,1,1/15/24,ones on bottom are clumped
Low1,Low,2,2,1,0,7,1,7,2,1/15/24,
Low2,Low,1,3,0,0,4,2,5,2,1/15/24,
Low2,Low,2,1,0,0,2,7,6,2,1/15/24,
Low3,Low,1,1,0,0,6,11,2,2,1/15/24,
Med1,Medium,1,3,0,0,3,3,7,2,1/15/24,
Med1,Medium,2,7,0,0,3,1,7,2,1/15/24,
Med2,Medium,1,1,0,0,8,2,8,2,1/15/24,
Med3,Medium,1,1,0,0,2,10,7,2,1/15/24,
Med3,Medium,2,0,0,0,2,12,0,2,1/15/24,
High1,High,1,0,0,0,6,11,1,2,1/15/24,
High2,High,1,1,0,0,5,0,7,2,1/15/24,
High2,High,2,2,3,0,5,5,4,2,1/15/24,
High3,High,1,6,0,0,4,0,8,2,1/15/24,
High3,High,2,12,0,0,0,3,4,2,1/15/24,
Ambient1,Ambient,1,6,1,0,1,6,5,2,1/15/24,
Ambient1,Ambient,2,2,1,1,5,5,3,2,1/15/24,
Ambient2,Ambient,1,1,0,0,9,0,8,2,1/15/24,
Ambient2,Ambient,2,6,0,0,2,3,7,2,1/15/24,"3 swimming in stage 1, 3 in stage 2 "
Ambient3 ,Ambient,1,6,0,0,2,5,7,2,1/16/24,
Low1,Low,1,0,0,3,15,0,6,2,1/16/24,
Low1,Low,2,1,0,0,6,0,12,3,1/16/24,
Low2,Low,1,1,0,0,4,7,0,3,1/16/24,
Low2,Low,2,0,0,0,13,0,3,3,1/16/24,
Low3,Low,1,1,0,0,2,0,13,3,1/16/24,
Med1,Medium,1,0,0,0,14,0,3,3,1/16/24,
