comm_type,Location,CowTagID,percent_cover
DeadCoral,Cabral,C1,70.56074766
DeadCoral,Cabral,C10,6.363636364
DeadCoral,Cabral,C11,74.88372093
DeadCoral,Cabral,C12,74.77477477
DeadCoral,Cabral,C13,72.60273973
DeadCoral,Cabral,C14,0
DeadCoral,Cabral,C15,43.83561644
DeadCoral,Cabral,C16,22.06303725
DeadCoral,Cabral,C17,26.82926829
DeadCoral,Cabral,C18,51.8018018
DeadCoral,Cabral,C19,36.98630137
DeadCoral,Cabral,C2,77.02702703
DeadCoral,Cabral,C20,12.32876712
DeadCoral,Cabral,C3,60.45454545
DeadCoral,Cabral,C4,46.60633484
DeadCoral,Cabral,C5,28.5046729
DeadCoral,Cabral,C6,52.88888889
DeadCoral,Cabral,C7,47.95918367
DeadCoral,Cabral,C8,41.82692308
DeadCoral,Cabral,C9,60.36866359
DeadCoral,Cabral,CSEEP,0
DeadCoral,Varari,V1,41.70616114
DeadCoral,Varari,V10,77.09497207
DeadCoral,Varari,V11,60.47619048
DeadCoral,Varari,V12,39.81481481
DeadCoral,Varari,V13,50.23041475
DeadCoral,Varari,V14,4.739336493
DeadCoral,Varari,V15,65.59633028
DeadCoral,Varari,V16,18.43317972
DeadCoral,Varari,V17,17.72727273
DeadCoral,Varari,V18,74.87437186
DeadCoral,Varari,V19,33.48837209
DeadCoral,Varari,V2,63.13131313
DeadCoral,Varari,V20,16.58291457
DeadCoral,Varari,V3,70.51282051
DeadCoral,Varari,V4,51.42857143
DeadCoral,Varari,V5,43.45991561
DeadCoral,Varari,V6,45.16129032
DeadCoral,Varari,V7,43.30357143
DeadCoral,Varari,V8,68.1372549
DeadCoral,Varari,V9,7.567567568
DeadCoral,Varari,VSEEP,2.5
LiveCoral,Cabral,C1,26.63551402
LiveCoral,Cabral,C10,0.909090909
LiveCoral,Cabral,C11,8.837209302
LiveCoral,Cabral,C12,13.51351351
LiveCoral,Cabral,C13,17.35159817
LiveCoral,Cabral,C14,0
LiveCoral,Cabral,C15,46.57534247
LiveCoral,Cabral,C16,10.0286533
LiveCoral,Cabral,C17,29.75609756
LiveCoral,Cabral,C18,43.24324324
LiveCoral,Cabral,C19,30.1369863
LiveCoral,Cabral,C2,7.207207207
LiveCoral,Cabral,C20,8.675799087
LiveCoral,Cabral,C3,19.09090909
LiveCoral,Cabral,C4,14.47963801
LiveCoral,Cabral,C5,14.95327103
LiveCoral,Cabral,C6,28.44444444
LiveCoral,Cabral,C7,19.89795918
LiveCoral,Cabral,C8,10.57692308
LiveCoral,Cabral,C9,26.7281106
LiveCoral,Cabral,CSEEP,0
LiveCoral,Varari,V1,39.81042654
LiveCoral,Varari,V10,16.75977654
LiveCoral,Varari,V11,15.23809524
LiveCoral,Varari,V12,23.14814815
LiveCoral,Varari,V13,2.304147465
LiveCoral,Varari,V14,0
LiveCoral,Varari,V15,25.68807339
LiveCoral,Varari,V16,10.59907834
LiveCoral,Varari,V17,0
LiveCoral,Varari,V18,10.05025126
LiveCoral,Varari,V19,18.13953488
LiveCoral,Varari,V2,21.21212121
LiveCoral,Varari,V20,5.527638191
LiveCoral,Varari,V3,13.67521368
LiveCoral,Varari,V4,9.714285714
LiveCoral,Varari,V5,28.69198312
LiveCoral,Varari,V6,21.19815668
LiveCoral,Varari,V7,4.910714286
LiveCoral,Varari,V8,13.7254902
LiveCoral,Varari,V9,50.27027027
LiveCoral,Varari,VSEEP,0
Rubble,Cabral,C1,0.46728972
Rubble,Cabral,C10,0.454545455
Rubble,Cabral,C11,11.1627907
Rubble,Cabral,C12,11.26126126
Rubble,Cabral,C13,6.849315068
Rubble,Cabral,C14,0
Rubble,Cabral,C15,9.132420091
Rubble,Cabral,C16,38.39541547
Rubble,Cabral,C17,4.390243902
Rubble,Cabral,C18,4.954954955
Rubble,Cabral,C19,30.59360731
Rubble,Cabral,C2,4.504504505
Rubble,Cabral,C20,0.913242009
Rubble,Cabral,C3,19.54545455
Rubble,Cabral,C4,0
Rubble,Cabral,C5,15.42056075
Rubble,Cabral,C6,0
Rubble,Cabral,C7,0
Rubble,Cabral,C8,2.403846154
Rubble,Cabral,C9,9.677419355
Rubble,Cabral,CSEEP,0
Rubble,Varari,V1,0
Rubble,Varari,V10,2.793296089
