CowTagID,Location,Side,Pocilloporidae,Poritidae,Acroporidae,Other ,Dead,SGD_level,Notes
V16,Varari,Bottom ,15,1,1,0,10,Low,"two question mark circles not yet added from bottom, second recruit not sure of, is 8 dead?, question on 7 and 11 "
V16,Varari,Top ,1,0,0,0,0,Low,
V16,Varari,Side ,3,1,0,0,1,Low,
V15,Varari,Bottom ,31,1,0,0,26,High ,"4 all close by, confident on 1 - are other 3 dead?, Por rus?, one questionable (would be dead), need to add 3 from question mark if are dead and correct, so many dead onesss - only counting dead Poc "
V15,Varari,Top ,0,0,0,0,0,High ,
V15,Varari,Side,1,0,0,0,0,High ,
V13,Varari,Bottom ,7,0,0,0,4,Low,"one pretty messed up but count as Poc (remove one if doesn't count after asking Pete), 1 maybe on the top - CHECK "
V13,Varari,Top ,1,0,0,0,0,Low,
V13,Varari,Side,0,0,0,0,0,Low,
V12,Varari,Bottom ,127,0,0,0,119,High ,woah! 
V12,Varari,Top ,0,0,0,0,0,High ,
V12,Varari,Side,4,0,0,0,0,High ,
V11,Varari,Bottom ,51,0,0,0,38,High ,question mark- REMOVE if wrong 
V11,Varari,Top ,0,0,0,0,0,High ,
V11,Varari,Side ,7,0,0,0,5,High ,
V14,Varari,Bottom ,1,0,1,0,0,Low,
V14,Varari,Top ,0,0,0,0,0,Low,
V14,Varari,Side ,0,0,0,0,0,Low,
V17,Varari,Bottom ,3,1,3,0,3,Mid,check about Acroporids
V17,Varari,Top ,0,0,0,0,0,Mid,
V17,Varari,Side ,0,0,0,0,0,Mid,
V18,Varari,Bottom ,7,0,0,0,6,High,
V18,Varari,Top ,0,0,0,0,0,High,
V18,Varari,Side ,4,2,0,0,4,High,
V19,Varari,Bottom ,5,0,0,0,2,Low,
V19,Varari,Top ,0,0,0,0,0,Low,
V19,Varari,Side ,0,0,0,0,0,Low,
V20,Varari,Bottom ,4,0,0,0,4,Low,
V20,Varari,Top ,0,0,0,0,0,Low,
V20,Varari,Side ,0,0,0,0,0,Low,
V10,Varari,Bottom ,56,2,0,0,39,Mid,
V10,Varari,Top ,0,0,0,0,0,Mid,
V10,Varari,Side ,4,0,0,0,2,Mid,
V9,Varari,Bottom ,18,1,0,0,11,Low,
V9,Varari,Top ,0,0,0,0,0,Low,
V9,Varari,Side ,0,0,0,0,0,Low,
V8,Varari,Bottom ,0,0,0,0,0,High,
V8,Varari,Top ,0,0,0,0,0,High ,
V8,Varari,Side ,2,0,0,0,2,High ,
V7,Varari,Bottom ,10,0,0,0,3,Low,
V7,Varari,Top ,2,0,2,0,0,Low,
V7,Varari,Side ,2,0,0,0,1,Low,
V6,Varari,Bottom ,26,0,0,2,18,Mid ,question on 2 maybe dead ones (only counted 1 of 2) 
V6,Varari,Top ,0,0,0,0,0,Mid ,
V6,Varari,Side ,2,2,0,0,0,Mid ,
V5,Varari,Bottom ,38,0,0,0,21,High ,
V5,Varari,Top ,0,0,0,0,0,High ,
V5,Varari,Side ,6,0,0,0,5,High ,
V4,Varari,Bottom ,25,0,0,0,15,Mid ,
V4,Varari,Top ,0,0,0,0,0,Mid ,
V4,Varari,Side ,2,0,0,0,2,Mid ,
V3,Varari,Bottom ,1,0,0,0,1,Mid ,
V3,Varari,Top ,0,0,0,0,0,Mid ,
V3,Varari,Side ,1,0,0,0,1,Mid ,
V2,Varari,Bottom ,95,0,0,0,51,Mid ,"question about a dead Poc, just to confirm if it is Poc "
V2,Varari,Top ,0,0,0,0,0,Mid ,
V2,Varari,Side ,1,0,0,0,1,Mid ,
V1,Varari,Bottom ,80,1,0,0,59,Mid ,
V1,Varari,Top ,0,0,0,0,0,Mid ,
V1,Varari,Side ,12,0,0,0,12,Mid ,
C15 ,Cabral ,Bottom ,10,2,2,0,7,Mid,
C15 ,Cabral ,Top ,0,0,0,0,0,Mid,
C15 ,Cabral ,Side ,0,0,0,0,0,Mid,
C16 ,Cabral ,Bottom ,7,3,0,0,3,High,
C16 ,Cabral ,Top ,0,0,0,0,0,High,
C16 ,Cabral ,Side ,0,0,0,0,0,High,
C17,Cabral ,Bottom ,41,1,0,0,29,Mid,
