treatmentID_rep,treatment_level,rep_number,site,swimming,mesh,plastic_glue,top,bottom,side,spawning_day,date,notes,dead,settled,countcheck,TA,phosphate,silicate,NN,ammonia,salinity
Low1,Low,1,Cabral,0,0,0,10,2,1,1,1/14/24,NA,7,13,20,2367.53447,0.29,4.11,0.67,1.02,35.93
Low1,Low,2,Cabral,5,0,1,5,3,2,1,1/14/24,NA,4,11,15,2367.53447,0.29,4.11,0.67,1.02,35.93
Low2,Low,1,Cabral,0,0,0,2,15,0,1,1/14/24,NA,3,17,20,2371.365378,0.31,5.73,0.86,0.28,35.6
Low2,Low,2,Cabral,0,0,0,5,2,1,1,1/14/24,NA,12,8,20,2371.365378,0.31,5.73,0.86,0.28,35.6
Low3,Low,1,Cabral,1,0,3,6,1,4,1,1/14/24,NA,5,14,19,2355.610949,0.23,3.47,0.71,1.82,35.7
Med1,Medium,1,Cabral,0,0,0,3,8,6,1,1/14/24,NA,3,17,20,2390.644925,0.3,7.32,1.24,1.43,35.3
Med1,Medium,2,Cabral,0,0,0,1,10,2,1,1/14/24,NA,7,13,20,2390.644925,0.3,7.32,1.24,1.43,35.3
Med2,Medium,1,Cabral,2,3,0,8,3,5,1,1/14/24,NA,0,19,19,2381.858793,0.28,6.65,1.14,1.36,35.44
Med3,Medium,1,Cabral,3,1,0,6,4,4,1,1/14/24,NA,2,15,17,2354.232926,0.32,7.12,1.28,0.95,35.31
Med3,Medium,2,Cabral,0,0,0,1,4,9,1,1/14/24,NA,6,14,20,2354.232926,0.32,7.12,1.28,0.95,35.31
High1,High,1,Cabral,2,0,0,9,6,1,1,1/14/24,NA,2,16,18,2441.19677,0.41,13.76,2.71,2.73,34.36
High2,High,1,Cabral,0,0,0,6,2,5,1,1/14/24,NA,7,13,20,2448.419,0.53,14.71,2.71,0.61,34.48
High2,High,2,Cabral,0,0,0,11,0,5,1,1/14/24,3 settled on CCA,4,16,20,2448.419,0.53,14.71,2.71,0.61,34.48
High3,High,1,Cabral,1,0,0,3,5,3,1,1/14/24,NA,8,11,19,2443.870626,0.4,13.21,2.41,1.43,35.01
High3,High,2,Cabral,2,0,0,5,3,11,1,1/14/24,NA,0,19,19,2443.870626,0.4,13.21,2.41,1.43,35.01
Ambient1,Ambient,1,Cabral,1,1,1,7,3,5,1,1/14/24,NA,2,17,19,2347.161172,0.29,2.99,0.74,2.86,35.68
Ambient1,Ambient,2,Cabral,0,0,0,3,1,3,1,1/14/24,stage1 on plastic,13,7,20,2347.161172,0.29,2.99,0.74,2.86,35.68
Ambient2,Ambient,1,Cabral,3,1,0,4,4,6,1,1/14/24,"side, settled on CCA",2,15,17,2361.055335,0.27,2.73,0.41,0.65,35.94
Ambient2,Ambient,2,Cabral,0,1,0,6,5,2,1,1/14/24,NA,6,14,20,2361.055335,0.27,2.73,0.41,0.65,35.94
Ambient3,Ambient,1,Cabral,2,6,0,8,7,2,1,1/14/24,"picture, lots of stage 2",0,20,20,2348.890804,0.26,2.77,0.44,2.88,35.99
Low1,Low,1,Cabral,1,1,0,3,8,8,2,1/15/24,ones on bottom are clumped,0,20,20,2373.081099,0.23,3.49,0.57,2,34.49
Low1,Low,2,Cabral,2,1,0,7,1,7,2,1/15/24,NA,2,16,18,2373.081099,0.23,3.49,0.57,2,34.49
Low2,Low,1,Cabral,3,0,0,4,2,5,2,1/15/24,NA,6,11,17,2387.31106,0.22,3.47,0.38,0.26,33.47
Low2,Low,2,Cabral,1,0,0,2,7,6,2,1/15/24,NA,4,15,19,2387.31106,0.22,3.47,0.38,0.26,33.47
Low3,Low,1,Cabral,1,0,0,6,11,2,2,1/15/24,NA,0,19,19,2372.544712,0.21,3.31,0.48,1.09,34.46
Med1,Medium,1,Cabral,3,0,0,3,3,7,2,1/15/24,NA,4,13,17,2399.357507,0.21,7.03,0.85,1.09,34.06
