treatmentID_rep,treatment_level,rep_number,site,swimming,mesh,plastic_glue,top,bottom,side,spawning_day,date,notes,dead,settled,countcheck,TA,phosphate,silicate,NN,ammonia,salinity,pH
Low1,Low,1,Cabral,0,0,0,10,2,1,1,1/14/24,NA,7,13,20,2367.53447,0.29,4.11,0.67,1.02,35.93,7.983965521
Low1,Low,2,Cabral,5,0,1,5,3,2,1,1/14/24,NA,4,11,15,2367.53447,0.29,4.11,0.67,1.02,35.93,7.983965521
Low2,Low,1,Cabral,0,0,0,2,15,0,1,1/14/24,NA,3,17,20,2371.365378,0.31,5.73,0.86,0.28,35.6,7.977049995
Low2,Low,2,Cabral,0,0,0,5,2,1,1,1/14/24,NA,12,8,20,2371.365378,0.31,5.73,0.86,0.28,35.6,7.977049995
Low3,Low,1,Cabral,1,0,3,6,1,4,1,1/14/24,NA,5,14,19,2355.610949,0.23,3.47,0.71,1.82,35.7,7.987151625
Med1,Medium,1,Cabral,0,0,0,3,8,6,1,1/14/24,NA,3,17,20,2390.644925,0.3,7.32,1.24,1.43,35.3,7.969190675
Med1,Medium,2,Cabral,0,0,0,1,10,2,1,1/14/24,NA,7,13,20,2390.644925,0.3,7.32,1.24,1.43,35.3,7.969190675
Med2,Medium,1,Cabral,2,3,0,8,3,5,1,1/14/24,NA,0,19,19,2381.858793,0.28,6.65,1.14,1.36,35.44,7.980693777
Med3,Medium,1,Cabral,3,1,0,6,4,4,1,1/14/24,NA,2,15,17,2354.232926,0.32,7.12,1.28,0.95,35.31,7.9692591
Med3,Medium,2,Cabral,0,0,0,1,4,9,1,1/14/24,NA,6,14,20,2354.232926,0.32,7.12,1.28,0.95,35.31,7.9692591
High1,High,1,Cabral,2,0,0,9,6,1,1,1/14/24,NA,2,16,18,2441.19677,0.41,13.76,2.71,2.73,34.36,7.988070979
High2,High,1,Cabral,0,0,0,6,2,5,1,1/14/24,NA,7,13,20,2448.419,0.53,14.71,2.71,0.61,34.48,7.938845493
High2,High,2,Cabral,0,0,0,11,0,5,1,1/14/24,3 settled on CCA,4,16,20,2448.419,0.53,14.71,2.71,0.61,34.48,7.938845493
High3,High,1,Cabral,1,0,0,3,5,3,1,1/14/24,NA,8,11,19,2443.870626,0.4,13.21,2.41,1.43,35.01,7.962899697
High3,High,2,Cabral,2,0,0,5,3,11,1,1/14/24,NA,0,19,19,2443.870626,0.4,13.21,2.41,1.43,35.01,7.962899697
Ambient1,Ambient,1,Cabral,1,1,1,7,3,5,1,1/14/24,NA,2,17,19,2347.161172,0.29,2.99,0.74,2.86,35.68,8.02692136
Ambient1,Ambient,2,Cabral,0,0,0,3,1,3,1,1/14/24,stage1 on plastic,13,7,20,2347.161172,0.29,2.99,0.74,2.86,35.68,8.02692136
Ambient2,Ambient,1,Cabral,3,1,0,4,4,6,1,1/14/24,"side, settled on CCA",2,15,17,2361.055335,0.27,2.73,0.41,0.65,35.94,7.990580906
Ambient2,Ambient,2,Cabral,0,1,0,6,5,2,1,1/14/24,NA,6,14,20,2361.055335,0.27,2.73,0.41,0.65,35.94,7.990580906
Ambient3,Ambient,1,Cabral,2,6,0,8,7,2,1,1/14/24,"picture, lots of stage 2",0,20,20,2348.890804,0.26,2.77,0.44,2.88,35.99,7.986580373
Low1,Low,1,Cabral,1,1,0,3,8,8,2,1/15/24,ones on bottom are clumped,0,20,20,2373.081099,0.23,3.49,0.57,2,34.49,7.973320159
Low1,Low,2,Cabral,2,1,0,7,1,7,2,1/15/24,NA,2,16,18,2373.081099,0.23,3.49,0.57,2,34.49,7.973320159
Low2,Low,1,Cabral,3,0,0,4,2,5,2,1/15/24,NA,6,11,17,2387.31106,0.22,3.47,0.38,0.26,34.47,7.947283119
Low2,Low,2,Cabral,1,0,0,2,7,6,2,1/15/24,NA,4,15,19,2387.31106,0.22,3.47,0.38,0.26,34.47,7.947283119
Low3,Low,1,Cabral,1,0,0,6,11,2,2,1/15/24,NA,0,19,19,2372.544712,0.21,3.31,0.48,1.09,34.46,7.936941397
Med1,Medium,1,Cabral,3,0,0,3,3,7,2,1/15/24,NA,4,13,17,2399.357507,0.21,7.03,0.85,1.09,34.06,7.931892246
Med1,Medium,2,Cabral,7,0,0,3,1,7,2,1/15/24,NA,2,11,13,2399.357507,0.21,7.03,0.85,0.1,34.06,7.931892246
Med2,Medium,1,Cabral,1,0,0,8,2,8,2,1/15/24,NA,1,18,19,2396.125451,0.26,6.14,0.86,0.97,34.09,7.933369079
Med3,Medium,1,Cabral,1,0,0,2,10,7,2,1/15/24,NA,0,19,19,2410.296189,0.3,6.25,1.75,2.01,34.11,7.962788573
Med3,Medium,2,Cabral,0,0,0,2,12,0,2,1/15/24,NA,6,14,20,2410.296189,0.3,6.25,1.75,2.01,34.11,7.962788573
High1,High,1,Cabral,0,0,0,6,11,1,2,1/15/24,NA,2,18,20,2491.554806,0.33,11.88,1.93,1.47,33.21,7.947655891
High2,High,1,Cabral,1,0,0,5,0,7,2,1/15/24,NA,7,12,19,2480.993944,0.27,10.76,1.72,2.7,33.35,7.914460942
High2,High,2,Cabral,2,3,0,5,5,4,2,1/15/24,NA,1,17,18,2480.993944,0.27,10.76,1.72,2.7,33.35,7.914460942
High3,High,1,Cabral,6,0,0,4,0,8,2,1/15/24,NA,2,12,14,2481.625196,0.29,9.61,1.3,3.88,33.38,7.911927841
High3,High,2,Cabral,12,0,0,0,3,4,2,1/15/24,NA,1,7,8,2481.625196,0.29,9.61,1.3,3.88,33.38,7.911927841
Ambient1,Ambient,1,Cabral,6,1,0,1,6,5,2,1/15/24,NA,1,13,14,2358.733127,0.13,2.73,0.38,0.35,34.74,7.982420539
Ambient1,Ambient,2,Cabral,2,1,1,5,5,3,2,1/15/24,NA,3,15,18,2358.733127,0.13,2.73,0.38,0.35,34.74,7.982420539
Ambient2,Ambient,1,Cabral,1,0,0,9,0,8,2,1/15/24,NA,2,17,19,2355.913455,0.19,1.99,0.35,1.49,34.61,7.979515816
Ambient2,Ambient,2,Cabral,6,0,0,2,3,7,2,1/15/24,"3 swimming in stage 1, 3 in stage 2",2,12,14,2355.913455,0.19,1.99,0.35,1.49,34.61,7.979515816
Ambient3,Ambient,1,Cabral,6,0,0,2,5,7,2,1/15/24,NA,0,14,14,2363.679493,0.21,2.18,0.3,14,34.61,7.952714067
Low1,Low,1,Cabral,0,0,3,15,0,6,3,1/16/24,NA,0,20,20,2373.045147,0.26,3.3,0.43,7.19,34.61,7.925738424
Low1,Low,2,Cabral,1,0,0,6,0,12,3,1/16/24,NA,1,18,19,2373.045147,0.26,3.3,0.43,7.19,34.61,7.925738424
