Location,CowTagID,Date,Taxa,SpeciesCounts,PhotoNum,Notes,
Varari,V4,6/3/2022,Bare Rock,51,,,
Varari,V4,6/3/2022,Sand,25,,,
Varari,V4,6/3/2022,Rubble,25,,,
Varari,V4,6/3/2022,Turf,10,,,
Varari,V4,6/3/2022,Crustose Corallines,13,,,
Varari,V4,6/3/2022,Turbinaria ornata,23,,,
Varari,V4,6/3/2022,Galaxaura rugosa,1,,,
Varari,V4,6/3/2022,Pocillopora acuta,7,,,
Varari,V4,6/3/2022,Porites rus,6,,,
Varari,V4,6/3/2022,Valonia fastigiata,2,,,
Varari,V4,6/3/2022,Dictyota bartayresiana,1,,,
Varari,V4,6/3/2022,Lithophyllum kotschyanum,2,,,
Varari,V4,6/3/2022,Lendenfeldia chondrodes,2,,,
Varari,V4,6/3/2022,Amphiroa fragilissima,1,,,
Varari,V18,6/4/2022,Dictyosphaeria sp.,1,5374,previously Dictyosphaeria versluysii,
Varari,V3,6/3/2022,Leptastrea transversa,1,5182-5185,identified,
Varari,V3,6/3/2022,Montipora setosa,2,5186-5193,previously 'Montipora',
Varari,V3,6/3/2022,Montipora verrilli,2,5194-5198,previously 'coral3',
Varari,V3,6/3/2022,Halimeda opuntia,3,5202-5206,identified,
Varari,V3,6/3/2022,Stylocoeniella armata,1,5207-5214,looks like a young encrusting form capitata; previously 'coral4'; or Montipora verrucosa?; previously 'Montipora capitata',
Varari,V3,6/3/2022,Danafungia scruposa,1,5218-5225,identified,
Varari,V4,6/3/2022,Dictyosphaeria sp.,1,5237-5240,previously Dictyosphaeria versluysii,
Varari,V3,6/3/2022,Porites rus,16,,,
Varari,V3,6/3/2022,Pocillopora acuta,13,,,
Varari,V3,6/3/2022,Discosoma nummiforme ,1,, ,
Varari,V3,6/3/2022,Bare Rock,66,,,
Varari,V3,6/3/2022,Sand,33,,,
Varari,V3,6/3/2022,Rubble,2,,,
Varari,V3,6/3/2022,Turf,25,,,
Varari,V3,6/3/2022,Crustose Corallines,14,,,
Varari,V3,6/3/2022,Amansia rhodantha,6,,,
Varari,V3,6/3/2022,Valonia fastigiata,7,,,
Varari,V3,6/3/2022,Dictyota bartayresiana,2,,,
Varari,V3,6/3/2022,Lobophora variegata,3,,,
Varari,V3,6/3/2022,Turbinaria ornata,37,,,
Varari,V3,6/3/2022,Galaxaura divaricata,1,,,
Varari,V3,6/3/2022,Lithophyllum kotschyanum,5,,,
Varari,V3,6/3/2022,Galaxaura rugosa,2,,,
Varari,V4,6/3/2022,Leptastrea transversa,1,5246-5250,"identified, 'coral1'",
