Predictor_Variable,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,sigma,statistic1,p.value1,df,logLik,AIC,BIC,deviance,df.residual,nobs,Predictor,delAIC
temp_max,(Intercept),2.228606748908623,0.2312903720251439,9.63553618507885,8.12579579461621e-8,0.4176025307601775,0.33994953486153456,0.9812819428928315,5.377803211936027,0.017343873344457923,2,-23.559881357860384,55.11976271572077,58.68124974730543,14.443713771712954,15,18,Max Temperature,0
temp_max,"poly(Predictor_Values, degree = 2)1",2.1497898268923614,0.9812819428928315,2.190797295785097,0.044672836471287454,0.4176025307601775,0.33994953486153456,0.9812819428928315,5.377803211936027,0.017343873344457923,2,-23.559881357860384,55.11976271572077,58.68124974730543,14.443713771712954,15,18,Max Temperature,0
temp_max,"poly(Predictor_Values, degree = 2)2",-2.3948132304413896,0.9812819428928318,-2.4404945467369443,0.027550817145665072,0.4176025307601775,0.33994953486153456,0.9812819428928315,5.377803211936027,0.017343873344457923,2,-23.559881357860384,55.11976271572077,58.68124974730543,14.443713771712954,15,18,Max Temperature,0
TA_min,(Intercept),58.31824481050568,19.983965440960645,2.918251884632076,0.010052697718960705,0.32995192579253196,0.2880739211545652,1.0191138118258771,7.87888364416953,0.012658929680968427,1,-24.8216481558254,55.6432963116508,58.31441158533929,16.617487383268312,16,18,Min TA,0
TA_min,Predictor_Values,-0.024695715213879626,0.008798107515567909,-2.8069349198315114,0.012658929680968404,0.32995192579253196,0.2880739211545652,1.0191138118258771,7.87888364416953,0.012658929680968427,1,-24.8216481558254,55.6432963116508,58.31441158533929,16.617487383268312,16,18,Min TA,0
TA_CV,(Intercept),0.13007620947848048,0.823008763913186,0.15804960430798207,0.8763952340924732,0.3082148855524751,0.2649783158995048,1.0355124201318757,7.128569357520737,0.0167723836908004,1,-25.108981406839867,56.21796281367973,58.889078087368226,17.15657555595799,16,18,TA CV,0.5746665020289328
TA_CV,Predictor_Values,17738.120604118565,6643.644932787411,2.6699380812147573,0.016772383690800374,0.3082148855524751,0.2649783158995048,1.0355124201318757,7.128569357520737,0.0167723836908004,1,-25.108981406839867,56.21796281367973,58.889078087368226,17.15657555595799,16,18,TA CV,0.5746665020289328
temp_CV,(Intercept),2.228606748908623,0.236113495675123,9.43870972955753,1.0626267601816698e-7,0.39305967654947843,0.312134300089409,1.00174472352924,4.857063306259974,0.02363714059286235,2,-23.931377245347722,55.862754490695444,59.4242415222801,15.052387366780108,15,18,Temperature CV,0.7429917749746764
temp_CV,"poly(Predictor_Values, degree = 2)1",2.486340108492159,1.0017447235292398,2.4820096877900704,0.02539086045424774,0.39305967654947843,0.312134300089409,1.00174472352924,4.857063306259974,0.02363714059286235,2,-23.931377245347722,55.862754490695444,59.4242415222801,15.052387366780108,15,18,Temperature CV,0.7429917749746764
temp_CV,"poly(Predictor_Values, degree = 2)2",-1.888429500495859,1.00174472352924,-1.8851404515940406,0.07893356906337007,0.39305967654947843,0.312134300089409,1.00174472352924,4.857063306259974,0.02363714059286235,2,-23.931377245347722,55.862754490695444,59.4242415222801,15.052387366780108,15,18,Temperature CV,0.7429917749746764
TA_CV,(Intercept),2.228606748908623,0.24376271879862982,9.142524992714966,1.6036051578793975e-7,0.3530973353742355,0.26684364675746686,1.0341976287778838,4.093707075451261,0.03813221650700017,2,-24.50526557358548,57.01053114717096,60.57201817875561,16.04347103054696,15,18,TA CV,1.8907684314501907
TA_CV,"poly(Predictor_Values, degree = 2)1",2.7647540440809504,1.034197628777884,2.6733324145676804,0.01736201635162515,0.3530973353742355,0.26684364675746686,1.0341976287778838,4.093707075451261,0.03813221650700017,2,-24.50526557358548,57.01053114717096,60.57201817875561,16.04347103054696,15,18,TA CV,1.8907684314501907
TA_CV,"poly(Predictor_Values, degree = 2)2",1.055037689095052,1.0341976287778838,1.0201509457547249,0.3238294474535174,0.3530973353742355,0.26684364675746686,1.0341976287778838,4.093707075451261,0.03813221650700017,2,-24.50526557358548,57.01053114717096,60.57201817875561,16.04347103054696,15,18,TA CV,1.8907684314501907
temp_CV,(Intercept),0.35290552523678664,0.8525921433561684,0.4139206864463929,0.684427605108038,0.24926521527015985,0.2023442912245449,1.0787305428466352,5.312453246398819,0.03490914558694058,1,-25.844974953672494,57.68994990734499,60.36106518103348,18.61855334512314,16,18,Temperature CV,2.0466535956941883
temp_CV,Predictor_Values,5463.374651209054,2370.3551590322863,2.3048759720207976,0.03490914558694063,0.24926521527015985,0.2023442912245449,1.0787305428466352,5.312453246398819,0.03490914558694058,1,-25.844974953672494,57.68994990734499,60.36106518103348,18.61855334512314,16,18,Temperature CV,2.0466535956941883
TA_min,(Intercept),2.228606748908623,0.2455066977614449,9.077580242124906,1.7572777003389017e-7,0.34380780666672167,0.2563155142222845,1.0415967048830033,3.929578218390613,0.04243585383345704,2,-24.633586507681393,57.267173015362786,60.82866004694745,16.273855434346952,15,18,Min TA,2.1474102996420186
