Predictor_Variable,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,sigma,statistic1,p.value1,df,logLik,AIC,BIC,deviance,df.residual,nobs
sal_avg,(Intercept),-596.368187306484,2603.3520007834813,-0.22907704648737717,0.8201814359538239,0.0016865051742982434,-0.02767565643822234,36.83068342936958,0.057438045487055785,0.8120310117933568,1,-179.88086206412385,365.7617241282477,370.512280943616,46120.97422373093,34,36
sal_avg,Predictor_Values,17.13369068375201,71.4909545232364,0.2396623572592407,0.8120310117933566,0.0016865051742982434,-0.02767565643822234,36.83068342936958,0.057438045487055785,0.8120310117933568,1,-179.88086206412385,365.7617241282477,370.512280943616,46120.97422373093,34,36
temp_avg,(Intercept),116.53141450265599,497.5048391951489,0.23423172062241174,0.8162098705665767,9.400015799526735e-4,-0.02844411602063679,36.84445119862263,0.03199012448595058,0.8591108936308364,1,-179.89431679892365,365.7886335978473,370.53919041321564,46155.46186034127,34,36
temp_avg,Predictor_Values,-3.1524914018768015,17.625682621884728,-0.1788578331691135,0.8591108936308367,9.400015799526735e-4,-0.02844411602063679,36.84445119862263,0.03199012448595058,0.8591108936308364,1,-179.89431679892365,365.7886335978473,370.53919041321564,46155.46186034127,34,36
TA_avg,(Intercept),-404.9879293987804,620.2851176770189,-0.6529060876318763,0.5182076214175995,0.014101717991946363,-0.014895290302407993,36.600950319644355,0.48631630714441165,0.4903165915260126,1,-179.6556071294114,365.3112142588228,370.06177107419114,45547.40518623652,34,36
TA_avg,Predictor_Values,0.18557753948225636,0.26611294178068284,0.6973638269543471,0.49031659152601215,0.014101717991946363,-0.014895290302407993,36.600950319644355,0.48631630714441165,0.4903165915260126,1,-179.6556071294114,365.3112142588228,370.06177107419114,45547.40518623652,34,36
pH_avg,(Intercept),-491.69280135996263,2156.1499826256604,-0.2280420218083353,0.8209794849139129,0.0017028514400119943,-0.02765882939998754,36.830381897533464,0.05799570703364456,0.8111386375006003,1,-179.88056733186463,365.76113466372925,370.5116914790976,46120.21904441747,34,36
pH_avg,Predictor_Values,64.9379467074151,269.65012673740944,0.24082297862464175,0.8111386375006001,0.0017028514400119943,-0.02765882939998754,36.830381897533464,0.05799570703364456,0.8111386375006003,1,-179.88056733186463,365.76113466372925,370.5116914790976,46120.21904441747,34,36
phos_avg,(Intercept),138.20934492725374,87.73332407180997,1.5753346449534842,0.12417631670680342,0.042589473220805404,0.015234886741399944,36.9028553541691,1.5569408535153593,0.22039764487332061,1,-184.9793738524164,375.9587477048328,380.7915014427654,47663.725665175436,35,37
phos_avg,Predictor_Values,-572.1088123328248,458.50342070269625,-1.2477743600168094,0.2203976448733208,0.042589473220805404,0.015234886741399944,36.9028553541691,1.5569408535153593,0.22039764487332061,1,-184.9793738524164,375.9587477048328,380.7915014427654,47663.725665175436,35,37
NN_avg,(Intercept),37.475466929989345,20.212847629113135,1.8540419250977964,0.07217593496980268,0.005511535413695723,-0.022902420717341387,37.610642004990545,0.19397282758789566,0.6623386406312874,1,-185.68230405091475,377.3646081018295,382.19736183976215,49509.61372096457,35,37
NN_avg,Predictor_Values,-17.145016845829925,38.928481903521835,-0.44042346393885007,0.6623386406312874,0.005511535413695723,-0.022902420717341387,37.610642004990545,0.19397282758789566,0.6623386406312874,1,-185.68230405091475,377.3646081018295,382.19736183976215,49509.61372096457,35,37
silicate_avg,(Intercept),31.719742610505353,15.517391449348061,2.0441414211947335,0.04852057941199502,0.0010431654273171166,-0.027498458417616556,37.695042134161156,0.036548916522220955,0.849491091539188,1,-185.76524084705568,377.53048169411136,382.363235432044,49732.06705236646,35,37
silicate_avg,Predictor_Values,-1.0233269181390094,5.352752274517614,-0.19117770927129837,0.8494910915391878,0.0010431654273171166,-0.027498458417616556,37.695042134161156,0.036548916522220955,0.849491091539188,1,-185.76524084705568,377.53048169411136,382.363235432044,49732.06705236646,35,37
ammonia_avg,(Intercept),32.40352844049654,9.774229704936323,3.3152002171722685,0.00213974094372772,0.005741646453767304,-0.022665735076125015,37.60629045896658,0.20211811664955873,0.6557885131414796,1,-185.67802290841686,377.3560458168337,382.1887995547664,49498.15787294564,35,37
ammonia_avg,Predictor_Values,-8.146203885164702,18.11976888918416,-0.4495754849294595,0.6557885131414798,0.005741646453767304,-0.022665735076125015,37.60629045896658,0.20211811664955873,0.6557885131414796,1,-185.67802290841686,377.3560458168337,382.1887995547664,49498.15787294564,35,37
sal_max,(Intercept),1211.6867797943773,2598.4928184185133,0.46630368620061474,0.6439720653589747,0.006070656127210869,-0.023162559869047472,36.7497224163127,0.2076629587380273,0.6515025538571677,1,-179.80163995022656,365.6032799004531,370.35383671582144,45918.431320985226,34,36
sal_max,Predictor_Values,-32.331473179620325,70.9489503844765,-0.45570051430520375,0.6515025538571677,0.006070656127210869,-0.023162559869047472,36.7497224163127,0.2076629587380273,0.6515025538571677,1,-179.80163995022656,365.6032799004531,370.35383671582144,45918.431320985226,34,36
temp_max,(Intercept),16.13687452576915,327.6262965164227,0.049253905127118726,0.9610051618065055,3.573819995142472e-5,-0.029374975382402857,36.86112164509004,0.0012151422253442593,0.9723961154346743,1,-179.9106014856822,365.8212029713644,370.57175978673274,46197.23782376025,34,36
temp_max,Predictor_Values,0.388181456577911,11.135795042573223,0.03485889019094332,0.9723961154346745,3.573819995142472e-5,-0.029374975382402857,36.86112164509004,0.0012151422253442593,0.9723961154346743,1,-179.9106014856822,365.8212029713644,370.57175978673274,46197.23782376025,34,36
TA_max,(Intercept),-1015.7726701856433,774.1826907555582,-1.3120580998708549,0.1982903449653626,0.050710813696219964,0.022790543510814776,35.914975428688464,1.8162723125339928,0.18666978984131527,1,-178.97449239573982,363.94898479147963,368.69954160684796,43856.105641472066,34,36
TA_max,Predictor_Values,0.44136039692248896,0.32749364748471826,1.3476914752768876,0.1866697898413152,0.050710813696219964,0.022790543510814776,35.914975428688464,1.8162723125339928,0.18666978984131527,1,-178.97449239573982,363.94898479147963,368.69954160684796,43856.105641472066,34,36
pH_max,(Intercept),5755.913517809833,3526.29554982918,1.6322833513171238,0.1118487150017733,0.07202472228828184,0.044731331767349,35.50949613945025,2.6389071095085055,0.1135112248287716,1,-178.56574141971882,363.13148283943764,367.88203965480596,42871.42674663949,34,36
pH_max,Predictor_Values,-710.0249357908342,437.08061919420504,-1.624471332313533,0.11351122482877164,0.07202472228828184,0.044731331767349,35.50949613945025,2.6389071095085055,0.1135112248287716,1,-178.56574141971882,363.13148283943764,367.88203965480596,42871.42674663949,34,36
phos_max,(Intercept),87.0156961932566,63.91369963769409,1.3614560991856237,0.18207028425350744,0.02320852998419571,-0.004699797730541411,37.274497809500794,0.8315987335901971,0.3680492835854653,1,-185.35013083739148,376.70026167478295,381.5330154127156,48628.586543266785,35,37
phos_max,Predictor_Values,-234.45963151970147,257.1053823644548,-0.9119203548502448,0.3680492835854655,0.02320852998419571,-0.004699797730541411,37.274497809500794,0.8315987335901971,0.3680492835854653,1,-185.35013083739148,376.70026167478295,381.5330154127156,48628.586543266785,35,37
NN_max,(Intercept),22.695256324226655,15.510877977688088,1.463183216119234,0.15234055604437705,0.005581031343209338,-0.022830939189841803,37.60932784586051,0.19643239235085855,0.6603436142066823,1,-185.68101120573246,377.3620224114649,382.19477614939757,49506.153935609655,35,37
NN_max,Predictor_Values,6.783991278144189,15.306599816073126,0.4432069407746891,0.6603436142066822,0.005581031343209338,-0.022830939189841803,37.60932784586051,0.19643239235085855,0.6603436142066823,1,-185.68101120573246,377.3620224114649,382.19477614939757,49506.153935609655,35,37
silicate_max,(Intercept),25.364603361149637,16.386227941856795,1.5479220386260208,0.13063676487511153,0.001638150117437081,-0.026886474164921736,37.68381476539971,0.05742933197722066,0.8120040445971834,1,-185.75421885324118,377.50843770648237,382.341191444415,49702.446334553504,35,37
silicate_max,Predictor_Values,0.6912443762380933,2.8844613812060005,0.2396441778496207,0.8120040445971836,0.001638150117437081,-0.026886474164921736,37.68381476539971,0.05742933197722066,0.8120040445971834,1,-185.75421885324118,377.50843770648237,382.341191444415,49702.446334553504,35,37
ammonia_max,(Intercept),30.614229252236587,6.968104775641037,4.393480040549505,9.862327985241271e-5,0.00711800882004713,-0.021250048070808658,37.58025205150126,0.25091633337571173,0.6195664018931455,1,-185.65239542023707,377.30479084047414,382.1375445784068,49429.63704890277,35,37
ammonia_max,Predictor_Values,-1.1463435329802099,2.2884968499954845,-0.5009154952441695,0.6195664018931456,0.00711800882004713,-0.021250048070808658,37.58025205150126,0.25091633337571173,0.6195664018931455,1,-185.65239542023707,377.30479084047414,382.1375445784068,49429.63704890277,35,37
sal_min,(Intercept),-562.0315189613001,1077.7851736672694,-0.52146896495981,0.605420591807102,0.008724906143571036,-0.020430243675735538,36.70062025417366,0.29925780514402794,0.5879209814748374,1,-179.7535073469993,365.5070146939986,370.2575715093669,45795.80791939609,34,36
sal_min,Predictor_Values,16.322004523690254,29.836697465611255,0.547044609829973,0.5879209814748376,0.008724906143571036,-0.020430243675735538,36.70062025417366,0.29925780514402794,0.5879209814748374,1,-179.7535073469993,365.5070146939986,370.2575715093669,45795.80791939609,34,36
temp_min,(Intercept),325.2297224764021,539.9825039798887,0.6022967782832369,0.550972621086421,0.008860020320013033,-0.02029115555292771,36.698118959075416,0.303933548294264,0.5850320336254928,1,-179.75105371838012,365.50210743676024,370.25266425212857,45789.56579457131,34,36
temp_min,Predictor_Values,-11.056477832042418,20.05522225925578,-0.5513016853722322,0.5850320336254929,0.008860020320013033,-0.02029115555292771,36.698118959075416,0.303933548294264,0.5850320336254928,1,-179.75105371838012,365.50210743676024,370.25266425212857,45789.56579457131,34,36
TA_min,(Intercept),10.729900657932191,314.8677193016839,0.03407748714834613,0.9730146396400547,8.401128562795546e-5,-0.0293252825000887,36.860231902512794,0.002856623699980076,0.9576882592099853,1,-179.90973251811064,365.8194650362213,370.5700218515896,46195.00766083875,34,36
TA_min,Predictor_Values,0.007345325108046996,0.13743093625575667,0.05344739189128035,0.9576882592099851,8.401128562795546e-5,-0.0293252825000887,36.860231902512794,0.002856623699980076,0.9576882592099853,1,-179.90973251811064,365.8194650362213,370.5700218515896,46195.00766083875,34,36
pH_min,(Intercept),-866.7626509269634,874.1500078806338,-0.9915490969661135,0.32842207268512236,0.029866585225386016,0.0013332494967209785,36.307139889530866,1.0467260298410008,0.313486964603176,1,-179.36545461789527,364.73090923579053,369.48146605115886,44819.08583657075,34,36
pH_min,Predictor_Values,113.26642181263921,110.70944378566786,1.0230962954878684,0.3134869646031763,0.029866585225386016,0.0013332494967209785,36.307139889530866,1.0467260298410008,0.313486964603176,1,-179.36545461789527,364.73090923579053,369.48146605115886,44819.08583657075,34,36
phos_min,(Intercept),72.76015861799456,36.39989203167839,1.998911385634668,0.05343073845150767,0.04074574062691268,0.013338476073396,36.93837108661235,1.486676663676177,0.23088647285931188,1,-185.0149659536063,376.0299319072126,380.86268564514523,47755.51404862977,35,37
phos_min,Predictor_Values,-307.4003839350275,252.11352426514654,-1.2192935100607138,0.23088647285931196,0.04074574062691268,0.013338476073396,36.93837108661235,1.486676663676177,0.23088647285931188,1,-185.0149659536063,376.0299319072126,380.86268564514523,47755.51404862977,35,37
NN_min,(Intercept),41.63377143006648,10.850498393186859,3.837037702914067,4.988593539320457e-4,0.05309426553964712,0.026039815983637138,36.69984627619584,1.962496610020748,0.17005092724449974,1,-184.7752684387217,375.5505368774434,380.38329061537604,47140.7550843742,35,37
NN_min,Predictor_Values,-59.991572872072794,42.82385805953438,-1.4008913626761885,0.17005092724449974,0.05309426553964712,0.026039815983637138,36.69984627619584,1.962496610020748,0.17005092724449974,1,-184.7752684387217,375.5505368774434,380.38329061537604,47140.7550843742,35,37
silicate_min,(Intercept),28.67515408485691,13.158255757292036,2.1792519171065456,0.03613083432000426,2.238299131760797e-5,-0.02854840606607323,37.71429652576261,7.834222314492835e-4,0.9778293716022237,1,-185.78413539028855,377.5682707805771,382.40102451850976,49782.885685160254,35,37
silicate_min,Predictor_Values,0.2443593866982362,8.730338456476959,0.02798968080291872,0.9778293716022237,2.238299131760797e-5,-0.02854840606607323,37.71429652576261,7.834222314492835e-4,0.9778293716022237,1,-185.78413539028855,377.5682707805771,382.40102451850976,49782.885685160254,35,37
ammonia_min,(Intercept),25.56751692619432,10.9440660560097,2.3361990685495235,0.025334662404451692,0.004114029579721132,-0.024339855289429613,37.637058922368055,0.14458586581902869,0.706061840749708,1,-185.70828294385305,377.4165658877061,382.24931962563875,49579.18715140316,35,37
ammonia_min,Predictor_Values,32.015567141404745,84.19732221535719,0.3802444816417838,0.7060618407497079,0.004114029579721132,-0.024339855289429613,37.637058922368055,0.14458586581902869,0.706061840749708,1,-185.70828294385305,377.4165658877061,382.24931962563875,49579.18715140316,35,37
sal_CV,(Intercept),38.93289040091077,16.903556722201447,2.3032365933836627,0.02750968133961619,0.01508610523163434,-0.013881950496846818,36.58267332942265,0.5207841828611821,0.4754412739872981,1,-179.63762573879822,365.27525147759644,370.02580829296477,45501.92758952653,34,36
