Predictor_Variable,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,sigma,statistic1,p.value1,df,logLik,AIC,BIC,deviance,df.residual,nobs
sal_avg,(Intercept),3.057143713155445,0.2824513054414115,10.823613324703093,1.7469113954861034e-8,0.11592395956251553,-0.001952845829149119,1.1983394005956889,0.9834331629309055,0.39689182724726946,2,-27.156861366908448,62.313722733816896,65.87520976540155,21.540259785300528,15,18
sal_avg,"poly(Predictor_Values, degree = 2)1",-0.8548385543567444,1.1983394005956889,-0.713352622747619,0.4865787945593453,0.11592395956251553,-0.001952845829149119,1.1983394005956889,0.9834331629309055,0.39689182724726946,2,-27.156861366908448,62.313722733816896,65.87520976540155,21.540259785300528,15,18
sal_avg,"poly(Predictor_Values, degree = 2)2",-1.446964116389946,1.1983394005956893,-1.2074743730120752,0.24594499893860133,0.11592395956251553,-0.001952845829149119,1.1983394005956889,0.9834331629309055,0.39689182724726946,2,-27.156861366908448,62.313722733816896,65.87520976540155,21.540259785300528,15,18
temp_avg,(Intercept),3.057143713155445,0.2870614171613151,10.649789663086185,2.1692031680385558e-8,0.08682902875730021,-0.03492710074172645,1.2178984481507176,0.7131388712384649,0.5059885968216243,2,-27.448281804904312,62.896563609808624,66.45805064139329,22.249149450118896,15,18
temp_avg,"poly(Predictor_Values, degree = 2)1",0.9823620020829792,1.217898448150718,0.8066041988760375,0.4324980622732144,0.08682902875730021,-0.03492710074172645,1.2178984481507176,0.7131388712384649,0.5059885968216243,2,-27.448281804904312,62.896563609808624,66.45805064139329,22.249149450118896,15,18
temp_avg,"poly(Predictor_Values, degree = 2)2",-1.0726273072134676,1.217898448150718,-0.8807198242531361,0.3923625898986157,0.08682902875730021,-0.03492710074172645,1.2178984481507176,0.7131388712384649,0.5059885968216243,2,-27.448281804904312,62.896563609808624,66.45805064139329,22.249149450118896,15,18
TA_avg,(Intercept),3.057143713155445,0.300051789229109,10.188720157309634,3.9050794735486084e-8,0.00231167558102783,-0.13071343434150173,1.273011929226358,0.017377738551571882,0.9827921387377859,2,-28.244942015302133,64.48988403060426,68.05137106218892,24.30839057928921,15,18
TA_avg,"poly(Predictor_Values, degree = 2)1",0.1063808330554865,1.2730119292263582,0.08356624994090735,0.9345063427666414,0.00231167558102783,-0.13071343434150173,1.273011929226358,0.017377738551571882,0.9827921387377859,2,-28.244942015302133,64.48988403060426,68.05137106218892,24.30839057928921,15,18
TA_avg,"poly(Predictor_Values, degree = 2)2",-0.2121471953729419,1.2730119292263582,-0.16664980940270463,0.8698712798261398,0.00231167558102783,-0.13071343434150173,1.273011929226358,0.017377738551571882,0.9827921387377859,2,-28.244942015302133,64.48988403060426,68.05137106218892,24.30839057928921,15,18
pH_avg,(Intercept),3.057143713155445,0.292870879949381,10.438537671221644,2.83271963838635e-8,0.04949406636507335,-0.07724005811958357,1.2425459113456712,0.3905346453950954,0.6833783919830614,2,-27.80892331010826,63.61784662021652,67.17933365180117,23.15880512702767,15,18
pH_avg,"poly(Predictor_Values, degree = 2)1",-0.9248237080662608,1.2425459113456712,-0.744297413577806,0.46819729364896145,0.04949406636507335,-0.07724005811958357,1.2425459113456712,0.3905346453950954,0.6833783919830614,2,-27.80892331010826,63.61784662021652,67.17933365180117,23.15880512702767,15,18
pH_avg,"poly(Predictor_Values, degree = 2)2",0.5921231927616817,1.2425459113456712,0.47654029308294543,0.6405570141731226,0.04949406636507335,-0.07724005811958357,1.2425459113456712,0.3905346453950954,0.6833783919830614,2,-27.80892331010826,63.61784662021652,67.17933365180117,23.15880512702767,15,18
phos_avg,(Intercept),2.9875362048519,0.299752245278606,9.966684993719134,2.877348050609679e-8,0.0038059493396802773,-0.12071830699285968,1.3065897452688606,0.03056391944647758,0.9699549196488002,2,-30.40824409479596,68.81648818959192,72.59424410625769,27.31482819906794,16,19
