Predictor_Variable,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,sigma,statistic1,p.value1,df,logLik,AIC,BIC,deviance,df.residual,nobs
sal_avg,(Intercept),162.1153795036434,132.3268804143319,1.2251129853287557,0.23826281225287568,0.08361582516325897,0.026341814235962602,1.1918140371156396,1.4599261307087605,0.2444976055224939,1,-27.63942412891993,61.27884825783986,63.949963531528354,22.72673118505407,16,18
sal_avg,Predictor_Values,-4.398453272459266,3.6402779208622986,-1.2082740296425973,0.244497605522494,0.08361582516325897,0.026341814235962602,1.1918140371156396,1.4599261307087605,0.2444976055224939,1,-27.63942412891993,61.27884825783986,63.949963531528354,22.72673118505407,16,18
temp_avg,(Intercept),-16.578208153970753,16.2847197547247,-1.0180223180789403,0.32381496487488526,0.07696582177019763,0.019276185630834997,1.1961305896096002,1.33413602374383,0.2650300156584536,1,-27.70449936445917,61.40899872891834,64.08011400260683,22.891654198396953,16,18
temp_avg,Predictor_Values,0.6663645441395614,0.5769149929846139,1.1550480612268177,0.2650300156584535,0.07696582177019763,0.019276185630834997,1.1961305896096002,1.33413602374383,0.2650300156584536,1,-27.70449936445917,61.40899872891834,64.08011400260683,22.891654198396953,16,18
TA_avg,(Intercept),76.8309267330368,41.82149032553552,1.8371159452948784,0.08483873068015906,0.16589211247494431,0.11376036950462831,1.1370532919197087,3.1821708430006628,0.09342119543284282,1,-26.79276779438886,59.58553558877772,62.25665086246621,20.68624301864714,16,18
TA_avg,Predictor_Values,-0.032258298857204874,0.01808338443385133,-1.783864020322363,0.09342119543284268,0.16589211247494431,0.11376036950462831,1.1370532919197087,3.1821708430006628,0.09342119543284282,1,-26.79276779438886,59.58553558877772,62.25665086246621,20.68624301864714,16,18
pH_avg,(Intercept),159.83396309366674,99.78369750195147,1.6018043738110714,0.12875511303914344,0.13488935652840953,0.0808199413114351,1.1579919317028389,2.4947441356100097,0.13379107477956526,1,-27.121219687108706,60.24243937421741,62.913554647905904,21.45512502222196,16,18
pH_avg,Predictor_Values,-19.746240943568093,12.501767755094981,-1.5794759053591196,0.13379107477956517,0.13488935652840953,0.0808199413114351,1.1579919317028389,2.4947441356100097,0.13379107477956526,1,-27.121219687108706,60.24243937421741,62.913554647905904,21.45512502222196,16,18
phos_avg,(Intercept),8.118015508207634,3.627825267884768,2.2377085192255985,0.03981717607512339,0.13835097757328463,0.08449791367161497,1.2572301165277626,2.569045613187388,0.12852899026115666,1,-28.601243932875512,63.202487865751024,65.87360313943952,25.290041054470585,16,18
phos_avg,Predictor_Values,-29.59267875059591,18.46283429930095,-1.602824261479526,0.12852899026115666,0.13835097757328463,0.08449791367161497,1.2572301165277626,2.569045613187388,0.12852899026115666,1,-28.601243932875512,63.202487865751024,65.87360313943952,25.290041054470585,16,18
NN_avg,(Intercept),3.051188440053431,1.0908808177086398,2.796995226721792,0.01292120100901667,0.02950342609069605,-0.03115260977863543,1.3342787804195684,0.4864054445340596,0.4955455140315659,1,-29.671882593493077,65.34376518698616,68.01488046067465,28.484797822046893,16,18
NN_avg,Predictor_Values,-1.2552595736093537,1.7998417784699818,-0.6974277342736376,0.4955455140315659,0.02950342609069605,-0.03115260977863543,1.3342787804195684,0.4864054445340596,0.4955455140315659,1,-29.671882593493077,65.34376518698616,68.01488046067465,28.484797822046893,16,18
silicate_avg,(Intercept),1.1697479363885308,0.924004601660999,1.2659546654700435,0.22365243286990535,0.09832091212622175,0.04196596913411055,1.2861024772666185,1.7446723731046134,0.20512900061417588,1,-29.009939847292802,64.0198796945856,66.6909949682741,26.464953312501333,16,18
