Predictor_Variable,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,sigma,statistic1,p.value1,df,logLik,AIC,BIC,deviance,df.residual,nobs
sal_avg,(Intercept),211.22652625132255,295.9656152219972,0.7136860344161474,0.4857025058071174,0.02999210075728341,-0.030633392945386362,1.2153694124478445,0.4947110353340123,0.49194239391708094,1,-27.99171160423535,61.9834232084707,64.65453848215918,23.633964939421098,16,18
sal_avg,Predictor_Values,-5.706756044977252,8.113598416941251,-0.7033569757484551,0.4919423939170806,0.02999210075728341,-0.030633392945386362,1.2153694124478445,0.4947110353340123,0.49194239391708094,1,-27.99171160423535,61.9834232084707,64.65453848215918,23.633964939421098,16,18
temp_avg,(Intercept),-100.84435729240138,127.90758555452955,-0.7884157679562283,0.4419791355603455,0.0396078980183075,-0.02041660835554837,1.2093303619746283,0.6598621198417565,0.42852988258150426,1,-27.902048434850887,61.80409686970177,64.47521214339027,23.399678790298964,16,18
temp_avg,Predictor_Values,3.6811959838500203,4.531712405619871,0.8123189766598808,0.4285298825815044,0.0396078980183075,-0.02041660835554837,1.2093303619746283,0.6598621198417565,0.42852988258150426,1,-27.902048434850887,61.80409686970177,64.47521214339027,23.399678790298964,16,18
TA_avg,(Intercept),-11.961797365718084,174.17920937088715,-0.06867523057959991,0.946099080392312,4.6447833087971094e-4,-0.06200649177344042,1.2337290274760957,0.007435106740043902,0.9323557656498952,1,-28.261589903844236,62.52317980768847,65.19429508137696,24.353397011793806,16,18
TA_avg,Predictor_Values,0.006389870322822159,0.07410515853885129,0.08622706500887016,0.9323557656498951,4.6447833087971094e-4,-0.06200649177344042,1.2337290274760957,0.007435106740043902,0.9323557656498952,1,-28.261589903844236,62.52317980768847,65.19429508137696,24.353397011793806,16,18
pH_avg,(Intercept),244.87585339256506,316.95093800408074,0.7725986076413262,0.4510227782023789,0.03510399895282452,-0.02520200111262394,1.2121627108817314,0.5820979490386877,0.45659347060967226,1,-27.944156590475593,61.88831318095119,64.55942845463969,23.50941500243437,16,18
pH_avg,Predictor_Values,-30.183651810783218,39.561590910963666,-0.7629534383163153,0.45659347060967237,0.03510399895282452,-0.02520200111262394,1.2121627108817314,0.5820979490386877,0.45659347060967226,1,-27.944156590475593,61.88831318095119,64.55942845463969,23.50941500243437,16,18
phos_avg,(Intercept),2.556690256061334,7.9406601327139095,0.3219745226883957,0.7513974507567819,1.733770324597887e-4,-0.058639953730336813,1.269887219827272,0.002947920653551248,0.9573332984066781,1,-30.44282236893285,66.8856447378657,69.71896167536502,27.414430368370844,17,19
phos_avg,Predictor_Values,2.3120163945096417,42.5826823074169,0.05429475714607444,0.9573332984066785,1.733770324597887e-4,-0.058639953730336813,1.269887219827272,0.002947920653551248,0.9573332984066781,1,-30.44282236893285,66.8856447378657,69.71896167536502,27.414430368370844,17,19
NN_avg,(Intercept),1.2057856612808464,1.3980978977363612,0.8624472315086915,0.4004446597095679,0.09046710237722776,0.03696516722294707,1.211189257051934,1.6909127140233808,0.21083423727403205,1,-29.543640543125157,65.08728108625031,67.92059802374963,24.938650078766273,17,19
NN_avg,Predictor_Values,4.305709010922581,3.311189842286771,1.3003509964710982,0.21083423727403233,0.09046710237722776,0.03696516722294707,1.211189257051934,1.6909127140233808,0.21083423727403205,1,-29.543640543125157,65.08728108625031,67.92059802374963,24.938650078766273,17,19
silicate_avg,(Intercept),3.4686917627819938,0.9258840219355604,3.7463566500809615,0.0016075917670779778,0.017293959765397965,-0.04051227789546097,1.2589677834586237,0.2991711701920335,0.5915107489988769,1,-30.278739746448206,66.55747949289642,69.39079643039574,26.944997956374245,17,19
silicate_avg,Predictor_Values,-0.24129284307624313,0.44114825992349127,-0.5469654195577939,0.5915107489988769,0.017293959765397965,-0.04051227789546097,1.2589677834586237,0.2991711701920335,0.5915107489988769,1,-30.278739746448206,66.55747949289642,69.39079643039574,26.944997956374245,17,19
ammonia_avg,(Intercept),3.149550805097344,0.4182918827928617,7.529552770826783,8.246811373115959e-7,0.016596915431971893,-0.04125032483673574,1.2594142042414136,0.2869093729428955,0.5991463822624383,1,-30.28547581349703,66.57095162699406,69.40426856449338,26.96411034336556,17,19
ammonia_avg,Predictor_Values,-0.33449917859326356,0.6244859724998751,-0.5356392190111691,0.5991463822624385,0.016596915431971893,-0.04125032483673574,1.2594142042414136,0.2869093729428955,0.5991463822624383,1,-30.28547581349703,66.57095162699406,69.40426856449338,26.96411034336556,17,19
sal_max,(Intercept),79.6240740547356,102.70922606588204,0.7752377961027703,0.4495058545665638,0.033567460462596364,-0.026834573258491368,1.2131274748335144,0.555733944615133,0.46679534975048953,1,-27.958477146547903,61.916954293095806,64.5880695667843,23.546852323135028,16,18
sal_max,Predictor_Values,-2.0892969698301256,2.802636102292997,-0.7454756499142904,0.4667953497504893,0.033567460462596364,-0.026834573258491368,1.2131274748335144,0.555733944615133,0.46679534975048953,1,-27.958477146547903,61.916954293095806,64.5880695667843,23.546852323135028,16,18
temp_max,(Intercept),37.53149782404963,92.99326936597352,0.4035937017801259,0.6918540559571369,0.008516457494512077,-0.05345126391208077,1.2287496908238675,0.13743376876216684,0.7157080226196788,1,-28.188794812270853,62.377589624541706,65.0487048982302,24.157212843196,16,18
